PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,FG3_OCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
Andrew Wiggins,MIA,30,1,1,0,7,10.3,5.1,15.4,33.3,0,0,0,0,0,0,5.1,10.3,15.4,10.3,0,0,0,5.1,44.1,0,0,66.7
Bam Adebayo,MIA,27,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,5.1,5.1,0,0,0,5.1,0,21.5,1,0,66.7
Brandin Podziemski,GSW,22,1,1,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,17.6,-8.8,0,0,52.9
Buddy Hield,GSW,32,1,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216.9
Caris LeVert,ATL,30,1,0,1,7,0,0,5.1,0,0,5.1,0,0,0,0,0,5.1,5.1,0,0,0,0,0,6.2,0,0,-66.7
Davion Mitchell,MIA,26,1,1,0,7,30.9,10.3,10.3,100,10.3,10.3,100,0,0,0,0,0,0,0,5.1,0,0,5.1,25.7,0,0,66.9
Desmond Bane,ORL,27,1,0,1,5,28.6,7.2,14.3,50,7.2,14.3,50,7.2,7.2,100,7.2,0,7.2,0,0,0,0,0,37.2,0,0,-14.3
Draymond Green,GSW,35,1,1,0,3.2,0,0,11.4,0,0,11.4,0,0,0,0,0,11.4,11.4,11.4,0,11.4,0,0,64.8,0,0,45.5
Duncan Robinson,MIA,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyson Daniels,ATL,22,1,0,1,7,10.3,5.1,10.3,50,0,0,0,0,0,0,0,5.1,5.1,5.1,0,0,0,0,24.1,1,0,-66.7
Gary Payton II,GSW,32,1,1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-153.2
Georges Niang,ATL,32,1,0,1,2.9,25.2,12.6,37.8,33.3,0,12.6,0,0,0,0,0,0,0,12.6,0,0,0,0,44.1,0,0,25.2
Haywood Highsmith,MIA,28,1,1,0,7,10.3,5.1,10.3,50,0,5.1,0,0,0,0,0,5.1,5.1,5.1,0,0,0,0,24.2,1,0,66.9
Ja Morant,MEM,25,1,0,1,5,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,7.2,7.2,0,0,14.3,0,0,-14.3
Jaren Jackson Jr.,MEM,25,1,0,1,5,0,0,7.2,0,0,0,0,0,0,0,7.2,0,7.2,0,7.2,7.2,0,7.2,22.9,0,0,-14.3
Jimmy Butler III,GSW,35,1,1,0,5,14.3,7.2,7.2,100,0,0,0,0,0,0,0,7.2,7.2,0,7.2,0,0,7.2,15.8,0,0,14.3
John Konchar,MEM,29,1,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-847.1
Kevon Looney,GSW,29,1,1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.9,0,0,0,-167.8
Kyle Anderson,MIA,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Kennard,MEM,29,1,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-800
Moses Moody,GSW,23,1,1,0,4.9,0,0,0,0,0,0,0,0,0,0,0,7.3,7.3,0,0,7.3,0,0,30.6,0,0,0
Mouhamed Gueye,ATL,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onyeka Okongwu,ATL,24,1,0,1,7,0,0,5.1,0,0,5.1,0,0,0,0,0,10.3,10.3,0,0,5.1,0,5.1,27.7,1,0,-66.7
Quinten Post,GSW,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2,0,0,0,-37.2,0,0,-37.2
Santi Aldama,MEM,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,-2160
Scotty Pippen Jr.,MEM,24,1,0,1,4.9,7.3,0,14.6,0,0,0,0,7.3,14.6,50,0,7.3,7.3,0,0,7.3,0,7.3,37.9,0,0,0
Stephen Curry,GSW,37,1,1,0,5,71.6,14.3,35.8,40,14.3,14.3,100,28.6,28.6,100,0,7.2,7.2,0,0,0,0,0,80.2,0,0,21.5
Terance Mann,ATL,28,1,0,1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,-129.8
Trae Young,ATL,26,1,0,1,7,30.9,15.4,20.6,75,0,0,0,0,0,0,0,0,0,5.1,10.3,0,0,0,28.3,1,0,-66.9
Tyler Herro,MIA,25,1,1,0,7,66.7,25.7,35.9,71.4,10.3,10.3,100,5.1,10.3,50,0,10.3,10.3,5.1,0,0,0,0,86.7,0,0,66.7
Zach Edey,MEM,23,1,0,1,4.9,36.7,7.3,7.3,100,0,0,0,22,29.3,75,7.3,,,,,,,,,,,
