GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,1631260,AJ Green,AJ,1610612749,MIL,25.0,1,0,1,0.0,9.9,3.6,3.6,1.0,3.6,3.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,10.9,-3.6,10.9,0,0,14.5,100,84,71,84,51,54,88,1,21,53,1,49,51,49,43,69,77,49,45,26,29,31,46,60,59,62,100,40,5,89
Players,203932,Aaron Gordon,Aaron,1610612743,DEN,29.0,8,4,4,0.5,35.135,6.1,9.2,0.667,3.1,4.1,0.75,6.1,6.1,1.0,7.2,4.1,11.3,0.0,1.0,1.0,0.0,1.0,1.0,4.1,21.5,-2.0,37.1,2,0,37.9,18,20,1,44,12,35,63,20,27,51,14,23,31,1,8,50,23,49,38,22,29,23,74,35,28,59,38,12,5,33
Players,1630174,Aaron Nesmith,Aaron,1610612754,IND,25.0,11,9,2,0.818,37.961666666666666,3.8,11.4,0.333,1.9,2.8,0.667,5.7,5.7,1.0,4.7,5.7,10.4,0.0,0.0,1.9,1.9,1.9,6.6,3.8,15.2,21.8,39.1,3,0,35.1,1,1,43,10,7,52,52,50,36,62,18,24,33,1,15,33,27,49,45,17,16,20,29,38,43,26,34,4,5,41
Players,201143,Al Horford,Al,1610612738,BOS,39.0,5,1,4,0.2,20.616666666666667,0.0,1.7,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,8.7,8.7,0.0,0.0,0.0,1.7,0.0,5.2,0.0,0.0,-26.2,15.7,0,0,12.2,26,53,1,81,22,70,91,70,47,68,47,49,51,49,43,17,33,49,45,26,18,31,37,60,80,80,87,40,5,95
Players,1627936,Alex Caruso,Alex,1610612760,OKC,31.0,9,5,4,0.556,24.706666666666667,2.9,4.4,0.667,0.0,0.0,0.0,1.5,2.9,0.5,0.0,7.3,7.3,2.9,2.9,1.5,2.9,0.0,8.7,2.9,7.3,18.9,30.6,0,0,26.2,15,17,1,42,19,63,85,20,47,70,47,48,43,38,43,25,40,35,28,19,10,31,20,49,72,29,53,40,5,57
Players,1630578,Alperen Sengun,Alperen,1610612745,HOU,22.0,3,0,3,0.0,6.371666666666667,5.7,17.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.7,11.3,0.0,0.0,0.0,0.0,0.0,0.0,11.3,-67.8,35.0,2,0,28.3,56,84,19,84,71,41,30,50,47,70,47,49,51,49,43,35,56,5,45,26,29,31,77,60,57,109,42,12,5,52
Players,1641708,Amen Thompson,Amen,1610612745,HOU,22.0,3,0,3,0.0,6.398333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.3,13.5,0,0,11.3,56,84,19,84,69,70,92,70,47,70,47,49,51,49,43,14,25,49,45,26,29,31,77,60,80,101,93,40,5,96
Players,1629614,Andrew Nembhard,Andrew,1610612754,IND,25.0,11,9,2,0.818,38.37166666666667,7.5,13.1,0.571,3.8,5.6,0.667,2.8,2.8,1.0,0.0,0.9,0.9,2.8,0.9,2.8,0.9,0.9,1.9,2.8,21.6,16.9,37.2,1,0,36.6,1,1,43,10,6,26,42,26,20,43,18,38,44,1,43,68,75,36,41,11,25,26,67,50,27,33,37,21,5,35
Players,1630162,Anthony Edwards,Anthony,1610612750,MIN,23.0,5,4,1,0.8,17.388333333333332,8.3,16.6,0.5,4.1,10.4,0.4,12.4,14.5,0.857,2.1,4.1,6.2,10.4,0.0,0.0,2.1,0.0,2.1,8.3,33.1,45.5,62.3,1,0,58.0,26,20,71,14,31,23,32,29,17,22,29,7,10,29,29,46,50,7,45,26,13,31,62,15,16,16,12,21,5,15
Players,1641709,Ausar Thompson,Ausar,1610612765,DET,22.0,4,1,3,0.25,6.871666666666667,10.5,10.5,1.0,0.0,0.0,0.0,5.2,10.5,0.5,0.0,0.0,0.0,0.0,0.0,10.5,5.2,0.0,15.7,5.2,26.2,0.0,73.3,0,0,57.6,39,53,19,75,64,18,58,1,47,70,47,27,15,38,43,69,77,49,45,1,5,31,10,28,23,46,8,40,5,16
